  Epoch  ,  Iteration  ,  Time Elapsed  ,  Mini-batch  ,  Validation  ,  Mini-batch  ,  Validation  ,  Base Learning  
         ,             ,   (hh:mm:ss)   ,   Accuracy   ,   Accuracy   ,     Loss     ,     Loss     ,      Rate       
7,354,       01:16:05 ,90.62%,86.60%,0.2791,0.3974,0.0034
7,355,       01:16:19 ,84.38%,87.99%,0.4802,0.3554,0.0034
7,356,       01:16:33 ,87.50%,86.81%,0.4383,0.3756,0.0034
7,357,       01:16:46 ,87.50%,86.88%,0.4403,0.3675,0.0034
7,358,       01:17:00 ,85.94%,85.69%,0.3324,0.4021,0.0034
7,359,       01:17:14 ,79.69%,86.46%,0.4846,0.3938,0.0034
7,360,       01:17:27 ,92.19%,85.90%,0.2743,0.4022,0.0034
7,361,       01:17:38 ,76.56%,87.08%,0.6234,0.3847,0.0034
7,362,       01:17:49 ,87.50%,87.22%,0.3304,0.3693,0.0034
7,363,       01:18:01 ,93.75%,87.99%,0.2385,0.3541,0.0034
7,364,       01:18:12 ,89.06%,88.40%,0.3029,0.3647,0.0034
8,365,       01:18:24 ,87.50%,86.88%,0.3335,0.4127,0.0034
8,366,       01:18:36 ,85.94%,86.25%,0.4114,0.4211,0.0034
8,367,       01:18:48 ,76.56%,86.11%,0.7496,0.4248,0.0034
8,368,       01:19:00 ,82.81%,87.08%,0.6696,0.4167,0.0034
8,369,       01:19:12 ,89.06%,87.92%,0.4367,0.3909,0.0034
8,370,       01:19:25 ,89.06%,87.01%,0.2526,0.3971,0.0034
8,371,       01:19:36 ,84.38%,86.60%,0.4494,0.3968,0.0034
8,372,       01:19:50 ,85.94%,86.60%,0.3866,0.388,0.0034
8,373,       01:20:03 ,85.94%,86.04%,0.413,0.3862,0.0034
8,374,       01:20:16 ,85.94%,87.01%,0.3465,0.3712,0.0034
8,375,       01:20:29 ,85.94%,87.71%,0.3992,0.3552,0.0034
8,376,       01:20:43 ,90.62%,87.22%,0.2607,0.3525,0.0034
8,377,       01:20:56 ,89.06%,88.26%,0.2593,0.356,0.0034
8,378,       01:21:10 ,90.62%,86.53%,0.2193,0.381,0.0034
8,379,       01:21:23 ,89.06%,85.62%,0.3546,0.4243,0.0034
8,380,       01:21:37 ,93.75%,85.97%,0.2688,0.3999,0.0034
8,381,       01:21:49 ,87.50%,85.90%,0.3531,0.383,0.0034
8,382,       01:22:02 ,95.31%,87.71%,0.1903,0.3636,0.0034
8,383,       01:22:15 ,82.81%,86.94%,0.3938,0.3661,0.0034
8,384,       01:22:29 ,85.94%,87.01%,0.5486,0.3847,0.0034
8,385,       01:22:43 ,85.94%,87.29%,0.5504,0.3737,0.0034
8,386,       01:22:57 ,90.62%,86.25%,0.3653,0.3969,0.0034
8,387,       01:23:11 ,85.94%,86.25%,0.3571,0.39,0.0034
8,388,       01:23:25 ,84.38%,87.08%,0.3371,0.3873,0.0034
8,389,       01:23:39 ,93.75%,86.67%,0.1969,0.3733,0.0034
8,390,       01:23:53 ,89.06%,86.53%,0.2822,0.3857,0.0034
8,391,       01:24:07 ,79.69%,87.57%,0.5791,0.3622,0.0034
8,392,       01:24:21 ,87.50%,88.47%,0.4024,0.3666,0.0034
8,393,       01:24:35 ,82.81%,88.19%,0.4992,0.3846,0.0034
8,394,       01:24:48 ,82.81%,86.88%,0.457,0.3845,0.0034
8,395,       01:25:02 ,85.94%,87.99%,0.4243,0.3835,0.0034
8,396,       01:25:16 ,85.94%,87.57%,0.336,0.3684,0.0034
8,397,       01:25:30 ,93.75%,87.36%,0.2371,0.3759,0.0034
8,398,       01:25:43 ,89.06%,88.75%,0.3282,0.3636,0.0034
8,399,       01:25:56 ,89.06%,88.33%,0.3878,0.3468,0.0034
8,400,       01:26:11 ,90.62%,87.92%,0.2676,0.3457,0.0034
