  Epoch  ,  Iteration  ,  Time Elapsed  ,  Mini-batch  ,  Validation  ,  Mini-batch  ,  Validation  ,  Base Learning  
         ,             ,   (hh:mm:ss)   ,   Accuracy   ,   Accuracy   ,     Loss     ,     Loss     ,      Rate       
2,82,       00:17:28 ,85.94%,83.75%,0.531,0.4647,0.0034
2,83,       00:17:40 ,79.69%,84.51%,0.5018,0.4343,0.0034
2,84,       00:17:50 ,92.19%,85.56%,0.2829,0.4352,0.0034
2,85,       00:18:01 ,84.38%,86.39%,0.3149,0.4321,0.0034
2,86,       00:18:13 ,85.94%,86.53%,0.3901,0.4523,0.0034
2,87,       00:18:24 ,84.38%,86.11%,0.5027,0.4617,0.0034
2,88,       00:18:36 ,87.50%,86.67%,0.4022,0.4879,0.0034
2,89,       00:18:47 ,89.06%,86.18%,0.5331,0.4823,0.0034
2,90,       00:18:58 ,90.62%,85.00%,0.3152,0.4744,0.0034
2,91,       00:19:10 ,79.69%,86.11%,0.9334,0.4695,0.0034
2,92,       00:19:21 ,82.81%,85.28%,0.5172,0.4364,0.0034
2,93,       00:19:31 ,89.06%,86.53%,0.514,0.4278,0.0034
2,94,       00:19:43 ,89.06%,87.57%,0.4811,0.3932,0.0034
2,95,       00:19:54 ,89.06%,86.46%,0.2963,0.3904,0.0034
2,96,       00:20:05 ,79.69%,85.35%,0.5137,0.4185,0.0034
2,97,       00:20:16 ,87.50%,85.14%,0.4594,0.4123,0.0034
2,98,       00:20:27 ,71.88%,85.49%,0.5957,0.4082,0.0034
2,99,       00:20:38 ,79.69%,84.72%,0.4754,0.4225,0.0034
2,100,       00:20:51 ,85.94%,86.18%,0.33,0.3878,0.0034
2,101,       00:21:03 ,78.12%,86.81%,0.4308,0.4002,0.0034
2,102,       00:21:15 ,87.50%,86.74%,0.466,0.4158,0.0034
2,103,       00:21:27 ,93.75%,86.18%,0.3388,0.4431,0.0034
2,104,       00:21:40 ,87.50%,86.94%,0.5602,0.4338,0.0034
3,105,       00:21:52 ,87.50%,86.46%,0.4103,0.4618,0.0034
3,106,       00:22:06 ,81.25%,86.04%,0.794,0.4548,0.0034
3,107,       00:22:19 ,85.94%,87.08%,0.4775,0.4269,0.0034
3,108,       00:22:31 ,78.12%,87.01%,0.8228,0.3987,0.0034
3,109,       00:22:42 ,89.06%,87.22%,0.3532,0.3908,0.0034
3,110,       00:22:54 ,82.81%,86.18%,0.5514,0.3709,0.0034
3,111,       00:23:07 ,79.69%,86.94%,0.4456,0.379,0.0034
3,112,       00:23:20 ,90.62%,84.86%,0.2997,0.4216,0.0034
3,113,       00:23:33 ,90.62%,86.74%,0.3219,0.3873,0.0034
3,114,       00:23:46 ,90.62%,84.51%,0.3344,0.4053,0.0034
3,115,       00:23:59 ,89.06%,85.07%,0.3692,0.4002,0.0034
3,116,       00:24:11 ,79.69%,86.18%,0.6401,0.3873,0.0034
3,117,       00:24:24 ,78.12%,87.29%,0.531,0.3579,0.0034
3,118,       00:24:38 ,90.62%,87.36%,0.2482,0.4048,0.0034
3,119,       00:24:50 ,81.25%,86.32%,0.5342,0.4394,0.0034
3,120,       00:25:02 ,82.81%,84.58%,0.4249,0.4706,0.0034
3,121,       00:25:14 ,93.75%,85.97%,0.2361,0.478,0.0034
3,122,       00:25:26 ,87.50%,86.39%,0.4339,0.4607,0.0034
3,123,       00:25:40 ,89.06%,86.39%,0.3773,0.4434,0.0034
3,124,       00:25:54 ,82.81%,86.67%,0.7506,0.4287,0.0034
3,125,       00:26:06 ,87.50%,87.08%,0.4719,0.4133,0.0034
3,126,       00:26:18 ,89.06%,86.18%,0.3463,0.4157,0.0034
3,127,       00:26:30 ,84.38%,86.94%,0.4774,0.3977,0.0034
3,128,       00:26:43 ,78.12%,84.38%,0.5884,0.422,0.0034
3,129,       00:26:55 ,82.81%,84.86%,0.7583,0.4167,0.0034
3,130,       00:27:08 ,84.38%,83.61%,0.4588,0.4714,0.0034
3,131,       00:27:20 ,81.25%,85.69%,0.549,0.3988,0.0034
3,132,       00:27:33 ,89.06%,86.46%,0.3588,0.397,0.0034
3,133,       00:27:45 ,85.94%,86.39%,0.5111,0.4043,0.0034
3,134,       00:27:57 ,89.06%,85.14%,0.4353,0.4397,0.0034
3,135,       00:28:09 ,85.94%,84.31%,0.5049,0.4525,0.0034
3,136,       00:28:22 ,81.25%,85.42%,0.5191,0.4335,0.0034
3,137,       00:28:33 ,87.50%,85.42%,0.3085,0.4198,0.0034
3,138,       00:28:47 ,90.62%,86.32%,0.364,0.4018,0.0034
3,139,       00:28:58 ,78.12%,87.50%,0.645,0.372,0.0034
3,140,       00:29:10 ,89.06%,86.60%,0.3028,0.3925,0.0034
3,141,       00:29:23 ,81.25%,87.78%,0.6306,0.3743,0.0034
3,142,       00:29:34 ,93.75%,85.56%,0.2202,0.4304,0.0034
3,143,       00:29:45 ,90.62%,86.04%,0.3751,0.3976,0.0034
3,144,       00:29:56 ,90.62%,85.62%,0.2212,0.4262,0.0034
3,145,       00:30:08 ,81.25%,85.90%,0.5276,0.3991,0.0034
3,146,       00:30:21 ,85.94%,86.32%,0.3494,0.4056,0.0034
3,147,       00:30:35 ,82.81%,86.46%,0.4704,0.4034,0.0034
3,148,       00:30:49 ,87.50%,84.51%,0.3983,0.4232,0.0034
3,149,       00:31:02 ,76.56%,82.85%,0.6063,0.4767,0.0034
3,150,       00:31:16 ,84.38%,82.57%,0.3529,0.4929,0.0034
3,151,       00:31:29 ,84.38%,83.19%,0.429,0.49,0.0034
